complaint_id,date_received,district_occurrence,general_cap_classification,summary
18-0167,4/9/18,12,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-2-18 at 7:15pm, they were treated rudely by an officer assigned to the 12th District."
18-0168,4/9/18,22,CRIMINAL ALLEGATION,"According to the complainant, on 3-27-18 at 3:55pm, they were improperly searched by an Officer assigned to the Narcotic Strike Force."
18-0169,4/20/18,1,LACK OF SERVICE,"According to the complainant, on 1-7-18, they did not receive proper service from officers assigned to the 1st District."
18-0170,4/11/18,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-5-18 at 11:10pm, they were improperly stopped and treated unprofessionally by officers assigned to the 16th District."
18-0171,4/11/18,14,PHYSICAL ABUSE,"According to the complainant, on 4-1-18 at 3:00pm, they were racially profiled and physically abused by an officer assigned to the 14th District."
18-0172,4/11/18,14,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-6-18 at 8:09pm, they were improperly stopped by officers assigned to the 14th District."
18-0173,4/17/18,22,LACK OF SERVICE,"According to the complainant, on 4-8-18, they did not receive proper service from officers assigned to the 22nd District."
18-0174,4/10/18,N/A,HARASSMENT,"According to the complainant, a sergeant assigned to the 12th District, repeatedly has abused their power as an officer and has not followed proper police procedures."
18-0175,4/10/18,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-7-18 at 1:00pm, a sergeant assigned to the 26th District abused their power as a police officer and did not follow proper police procedure."
18-0176,4/11/18,9,LACK OF SERVICE,"According to the complainant, on 4-6-18 at 7:15pm, they were subjected to a lack of service and treated unprofessionally by a lieutenant assigned to the 18th District."
18-0177,4/11/18,9,VERBAL ABUSE,"According to the complainant, on 3-31-18 at 5:40pm, they were verbally abused by officers assigned to the 9th District."
18-0178,4/11/18,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-10-17 at 12:30am, they were falsely arrested by an officer assigned to the Accident Investigation Division."
18-0179,4/17/18,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, in February 2018, proper police procedures were not followed by officers assigned to the 2nd District."
18-0180,4/11/18,77,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-10-18 at 4:00pm, they were treated unprofessionally by an officer assigned to the Airport Unit."
18-0181,4/12/18,25,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 2-13-18 at 11:10am, they were treated unprofessionally and racially profiled by officers assigned to the 25th District."
18-0182,4/13/18,39,LACK OF SERVICE,"According to the complainant, on 4-1-18, they did not receive proper service from a sergeant and an officer assigned to the 39th District."
18-0183,4/16/18,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-8-18 at 2:00am, they did not receive proper service and was falsely detained by officers assigned to the 22nd District."
18-0184,4/16/18,35,VERBAL ABUSE,"According to the complainant, on 4-12-18 at 6:10pm, they were treated rudely by an officer assigned to the 35th District."
18-0185,4/18/18,24,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-11-18 at 2:00pm, they did not receive proper service from officers assigned to the 24th District."
18-0186,4/18/18,14,FALSIFICATION,"According to the complainant, on 4-12-18 at 8:40am, they were verbally abused by a school crossing guard assigned to the 35th District."
18-0187,4/19/18,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-25-18 at 9:00pm, they were improperly evicted and did not receive proper service from officers assigned to the 22nd District."
18-0188,4/19/18,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on8-7-18 at 2:49am, an officer assigned to the 25th District did not follow proper live stop procedures and they did not receive proper service from a sergeant assigned to the 25th District."
18-0189,4/20/18,19,VERBAL ABUSE,"According to the complainant, on 4-15-18, they were verbally abused by an off duty officer assigned to the Summer Initiative"
18-0190,4/23/18,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-16-18 at 4:27am, their property was not returned to them after being arrested by officers assigned to the 6th District."
18-0191,4/23/18,18,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-15-18, they were verbally abused and treated unprofessionally by a detective assigned to Southwest Detective Division."
18-0192,4/23/18,77,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-8-18, they were improperly searched and verbally threatened by an officer assigned to the Airport Unit."
18-0193,4/24/18,19,LACK OF SERVICE,"According to the complainant, on 1-15-18 at 9:15pm, they did not receive proper service from a detective assigned to Southwest Detective Division."
18-0194,4/23/18,35,PHYSICAL ABUSE,"According to the complainant, on 4-20-18, they were verbally abused and physically abused by an officer assigned to the 35th District."
18-0195,4/24/18,22,PHYSICAL ABUSE,"According to the complainant, on 4-21-18 at 9:02am, they were falsely arrested, did not receive proper service and was physically abused by officers assigned to the 22nd District."
18-0196,4/25/18,15,CRIMINAL ALLEGATION,"According to the complainant, on 12-30-17 at 8:00pm, they were physically and verbally abused by their neighbor, an off-duty officer assigned to the 8th District."
18-0197,4/25/18,25,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-11-18, they were treated unprofessionally and verbally abused by a detective assigned to East Detective Division. This incident occurred in the confines of the 25th District."
18-0198,4/27/18,15,VERBAL ABUSE,"According to the complainant, on 4-20-18 at 5:14pm, they were verbally abused by an officer assigned to the 8th District."
18-0199,4/25/18,39,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 3-14-18 at 5:00pm, they were improperly issued a traffic ticket by officers assigned to the 39th District."
18-0200,4/26/18,22,LACK OF SERVICE,"According to the complainant, on 3-28-18, they did not receive proper service from a sergeant assigned to the 22nd District."
18-0201,4/26/18,25,CRIMINAL ALLEGATION,"According to the complainant, on 3-16-18 at 1:30pm, property is missing from their residence after their home was searched by officers assigned to the Narcotics Field Unit."
18-0202,4/26/18,8,VERBAL ABUSE,"According to the complainant, on 4-16-18, they were treated unprofessionally by sergeant assigned to the Grants Management Unit."
18-0203,4/27/18,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-21-18 at 11:00am, they were treated unprofessionally and their property was damaged by officers assigned to the 24th District."
18-0204,5/7/18,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 4-22-18, they were harassed by an off- duty officer assigned to the 19th District."
18-0205,4/27/18,35,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-23-18 at 7:30pm, they were treated unprofessionally by officers assigned to the 35th District."
18-0206,5/1/18,35,LACK OF SERVICE,"According to the complainant, on 4-24-18 at 10:41pm, they did not receive proper service from officers assigned to the 35th District."
18-0207,5/7/18,22,LACK OF SERVICE,"According to the complainant, on 3-6-18 at 8:57am, they did not receive proper service from officers assigned to the 22nd District."
18-0208,5/7/18,22,LACK OF SERVICE,"According to the complainant, on 3-26-18 at 12:45am, they did not receive proper service from officers assigned to the 22nd District."
18-0209,4/30/18,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-22-18 at 2:02pm, a detective assigned to Southwest Detective Division was verbally abusive toward them."
18-0210,5/1/18,12,CRIMINAL ALLEGATION,"According to the complainant, on 4-26-18 at 7:30pm, they were verbally and physically abused by officers assigned to Highway Patrol."
18-0211,5/1/18,9,LACK OF SERVICE,"According to the complainant, on 4-27-18 at 6:42am, they did not receive proper service from a police dispatcher assigned to the Radio Room."
18-0212,5/8/18,18,NON-INVESTIGATORY INCIDENT,"According to the complainant, on4-26-18 at 10:00am, they were improperly ticketed by officer assigned to the 18th District."
18-0213,5/2/18,8,LACK OF SERVICE,"According to the complainant, on 4-27-18 at 12:15pm, they did not receive proper service from an officer assigned to the 8th District."
18-0214,5/2/18,17,VERBAL ABUSE,"According to the complainant, on 8-3-17-, at 6:00pm, they did not receive proper service and was verbally abused by an officer assigned to the 17th District."
18-0215,5/1/18,25,VERBAL ABUSE,"According to the complainant, on 3-29-18 at 9:00pm, they did not receive proper service from an officer assigned to the Special Victims Unit."
18-0216,5/1/18,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-7-18 at 10:00am, they were falsely arrested by an officer assigned to the 24th District."
18-0217,5/1/18,24,LACK OF SERVICE,"According to the complainant, on 4-2-18 at 8:20pm, they did not receive proper service from an officer assigned to the 24th District."
18-0218,5/3/18,5,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-9-18 at 9:00am, they did not receive proper service from a detective assigned to Northwest Detectives Division."
18-0219,5/4/18,25,PHYSICAL ABUSE,"According to the complainant, on 4-30-18 at 9:40pm, they were improperly searched, physically and verbally abused by officers assigned to the 25th District."
18-0220,5/2/18,3,HARASSMENT,"According to the complainant, on 5-1-18 at 11:24am, they were harassed by an officer assigned to the 3rd District."
18-0221,5/4/18,4,PHYSICAL ABUSE,"According to the complainant, on 5-1-18 at 10:30pm, they were improperly searched and physically abused by an officer assigned to the 3rd District."
18-0222,5/9/18,18,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-6-17 at 1:50pm, they were treated unprofessionally by officers assigned to the 18th District."
18-0223,5/8/18,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-6-18 at 10:52am, they received a parking citation from an officer assigned to the 12th District."
18-0224,5/8/18,17,PHYSICAL ABUSE,"According to the complainant, on 2-11-18 at 12:53am, excessive force was used against a friend by an officer assigned to the 17th District."
18-0225,5/8/18,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-2-18 at 10:17pm, departmental policies were violated by officers assigned to the 22nd District."
18-0226,5/9/18,14,PHYSICAL ABUSE,"According to the complainant, on 5-3-18 at 1:20am, they were verbally abused and treated unprofessionally, by officers assigned to the 14th District."
18-0227,5/9/18,5,HARASSMENT,"According to the complainant, on 4-3-18, they were harassed and improperly ticketed by officer assigned to the 5th District."
18-0228,5/9/18,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-5-18, they were arrested and placed in a police wagon with four other people of the opposite sex by officers assigned to the 12th District."
18-0229,5/10/18,14,PHYSICAL ABUSE,"According to the complainant, on 3-27-18 at 8:15pm, they were physically abused and their vehicle was illegally searched by officers assigned to 14th District."
18-0230,5/14/18,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-20-18 at 10:00pm, a complete and accurate investigation was not conducted by an officer assigned to the 6th District."
18-0231,5/15/18,18,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 5-13-18 at 6:15pm, they were racially profiled by officers assigned to the 19th District."
18-0232,5/15/18,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-14-18 at 3:15pm, they were improperly stopped by officers assigned to the 15th District."
18-0233,5/16/18,22,VERBAL ABUSE,"According to the complainant, on 5-5-18 at 5:10pm, they were verbally abused with a rude, derogatory and intimidating tone by officers assigned to Highway Patrol."
18-0234,5/21/18,9,PHYSICAL ABUSE,"According to the complainant, on 5-14-18 at 1:17pm, they were verbally and physically abused by officers assigned to the 9th District."
